NAICS,Lat,Long,Emps
6221,39.670784,-104.97361,1252
9231,39.717104,-105.13582,254
9241,39.741837,-104.98448,20
9211,39.738263,-104.98472,51
6242,39.723226,-104.98482,56
6113,39.746899,-104.99957,1280
8123,39.683042,-104.98862,50
7222,39.812663,-104.92005,3
8111,39.802037,-105.05308,15
9211,39.739863,-104.9848,9
9211,39.739863,-104.9848,132
9231,39.736931,-104.98731,110
6221,39.730863,-104.93852,1105
6113,39.730863,-104.93852,4824
7221,39.736971,-105.08158,16
7222,39.790907,-105.02539,5
2381,39.830937,-104.95667,17
8123,39.691098,-105.05302,1
4411,39.886234,-105.02482,39
9281,39.782263,-104.84862,42
9221,39.782263,-104.84862,130
9221,39.7204,-105.1199,117
9221,39.742641,-104.98592,29
9221,39.749335,-104.98885,215
4851,39.666279,-104.99318,152
4851,39.726664,-105.00298,29
4851,39.750506,-104.99895,23
4851,39.770791,-104.98277,596
4851,39.739978,-104.82256,463
4851,39.767698,-104.98535,256
9221,39.741492,-104.98767,104
9211,39.739863,-104.9848,16
9231,39.746387,-104.99913,2
6211,39.877644,-104.97798,2
7221,39.787555,-105.04683,12
4238,39.731776,-105.01272,3
1114,39.856083,-104.91344,4
3351,39.795513,-104.90751,86
5322,39.624063,-105.12901,1
5322,39.667463,-104.91338,6
5418,39.729908,-104.99878,2
4411,39.6256,-105.09115,78
5416,39.837647,-105.12555,1
1112,39.798437,-105.0613,4
5239,39.636555,-104.90398,7
7221,39.613837,-105.01804,29
8141,39.75326,-104.9382,1
2389,39.70433,-104.96732,6
7222,39.718626,-105.08178,26
6241,39.675706,-104.94202,1
5416,39.620699,-104.88572,1
5413,39.608374,-104.88961,1
5312,39.696363,-104.84655,1
6212,39.811662,-105.13808,1
5418,39.7624,-104.8714,1
5511,39.721435,-105.15971,2
8114,39.744413,-104.80972,3
2372,39.719537,-104.94929,3
7222,39.661368,-105.10645,2
4239,39.708511,-104.92828,2
7222,39.734294,-105.16079,5
8123,39.680022,-104.91382,1
5611,39.623562,-104.88476,1
8133,39.743125,-104.94898,1
5312,39.769437,-105.00757,1
4251,39.775237,-104.95129,1
2382,39.770787,-105.14238,2
5616,39.72247,-105.13193,489
2383,39.687388,-104.82095,1
5415,39.696113,-104.95828,2
5615,39.684338,-105.04502,1
4885,39.788776,-104.87228,17
4882,39.7189,-105.14318,1
8131,39.780063,-105.01005,3
5223,39.662368,-104.85747,2
8129,39.685314,-104.81546,1
4251,39.810757,-105.02548,15
5312,39.721666,-105.13253,1
